"ID HISTÓRICO (itep)","Cód. IBGE/Apac","MUNICÍPIO","ESTAÇÃO","LAT","LON","ALT","LOCAL","TIPO PCD","TIPO","TIPO COLETA","OPERAÇÃO","BACIA HIDROGRÁFICA","MICRORREGIÃO","HOMOGENIA","MESORREGIÃO","DATA INSTALAÇÃO","DATA DESINSTALAÇÃO","GOOGLE"
"TPLU025","260460101A","Condado","Condado","-7.580","-35.103","0.0","Assentamento Agrícola","Meteorologica","Pluviometrica","Automática","APAC","GOIANA","Mata Norte","Mata Pernambucana","Mata Pernambucana","1/1/1970","2/28/2004","MAPA"
"22","260470001V","Correntes","Correntes","-9.129","-36.328","399.1","Correntes","Meteorologica","Pluviometrica","Convencional","APAC","Mundaú","Agreste Meridional","Agreste Meridional","Agreste Pernambucano","3/1/1934","2/28/1997","MAPA"
"303","260470002V","Correntes","Correntes (Poço Comprido)","-9.117","-36.317","505.2","Correntes (Poço Comprido)","Meteorologica","Pluviometrica","Convencional","APAC","Mundaú","Agreste Meridional","Agreste Meridional","Agreste Pernambucano","12/1/1962","10/31/1996","MAPA"
"1941","260470001H","Correntes","Correntes","-9.132","-36.323","372.0","Correntes","Hidrologica - Rios","Fluviometrica","Automática","ANA","Mundaú","Agreste Meridional","Agreste Meridional","Agreste Pernambucano","1/1/1970","","MAPA"
"2028","260470001A","Correntes","Correntes (Centro)","-9.128","-36.329","403.7","CORRENTES","Meteorologica","Pluviometrica","Automática","CEMADEN","Mundaú","Agreste Meridional","Agreste Meridional","Agreste Pernambucano","1/1/1970","7/31/1976","MAPA"
"2129","260470001C","CORRENTES","CORRENTES [C]","-9.179","-36.373","0.0","CORRENTES","Meteorologica","Pluviometrica","Automática","CEMADEN","0","Agreste Meridional","Agreste Pernambucano","Agreste Pernambucano","1/1/1970","7/31/1976","MAPA"
"103","260480901V","Cortês","Cortês","-8.503","-35.514","195.2","Cortês","Meteorologica","Pluviometrica","Convencional","APAC","Sirinhaém","Mata Sul","Zona da Mata e Litoral","Mata Pernambucana","1/1/1963","3/31/1993","MAPA"
"2029","260480901A","Cortês","Cortês (Morro do Cemitério)","-8.470","-35.544","360.0","CORTÊS","Meteorologica","Pluviometrica","Automática","CEMADEN","Sirinhaém","Mata Sul","Zona da Mata e Litoral","Mata Pernambucana","1/1/1970","10/30/2006","MAPA"
"TPLU062","260480902A","Cortês","Cortês","-8.471","-35.544","0.0","Estação de Tratamento de Água - Prefeitura","Meteorologica","Pluviometrica","Automática","APAC","SIRINHAÉM","Mata Sul","Mata Pernambucana","Mata Pernambucana","1/1/1970","6/30/1990","MAPA"
"144","260490801V","Cumaru","Cumaru","-8.004","-35.701","385.7","Cumaru","Meteorologica","Pluviometrica","Convencional","APAC","Capibaribe","Agreste Setentrional","Agreste Setentrional","Agreste Pernambucano","10/1/1956","2/29/1972","MAPA"
"499","260490801H","Cumaru","Surubim - PCD (Jucazinho)","-7.967","-35.733","250.9","Surubim - PCD (Jucazinho)","Hidrologica - Reservatorio","Pluviometrica","Automática","APAC","Capibaribe","Agreste Setentrional","Agreste Setentrional","Agreste Pernambucano","4/11/2000","5/31/1976","MAPA"
"TPLU143","260490801A","Cumaru","Cumaru","-8.006","-35.709","0.0","Estação de Tratamento de Água - Compesa","Meteorologica","Pluviometrica","Automática","APAC","CAPIBARIBE","Agreste Setentrional","Agreste Pernambucano","Agreste Pernambucano","1/1/1970","12/31/1989","MAPA"
"118","260500401V","Cupira","Cupira","-8.604","-35.951","406.0","Cupira","Meteorologica","Pluviometrica","Convencional","APAC","Una","Agreste Central","Agreste Central","Agreste Pernambucano","2/1/1993","9/30/1972","MAPA"
"340","260500402V","Cupira","Cupira","-8.613","-35.954","420.3","Cupira","Meteorologica","Pluviometrica","Convencional","APAC","Una","Agreste Central","Agreste Central","Agreste Pernambucano","1/1/1999","6/6/2007","MAPA"
"531","260500403V","Cupira","Cupira (Chã de Panelas)","-8.612","-35.891","384.4","Cupira (Chã de Panelas)","Meteorologica","Pluviometrica","Convencional","APAC","Una","Agreste Central","Agreste Central","Agreste Pernambucano","8/8/2001","12/31/2000","MAPA"
"606","260500401U","Cupira","Cupira","-8.621","-35.950","433.0","Cupira","Agrometeorologica","Pluviometrica","Automática","APAC","Una","Agreste Central","Agreste Central","Agreste Pernambucano","3/1/2013","3/31/2001","MAPA"
"46","261610001H","Custódia","Custódia (CHESF)","-8.100","-37.650","538.0","Custódia (CHESF)","Meteorologica","Pluviometrica","Convencional","APAC","Moxotó","Sertão do Moxotó","Sertão do Moxotó","Sertão Pernambucano","1/1/1993","12/31/1989","MAPA"
"147","260510302V","Custódia","Custódia","-8.086","-37.645","538.1","Custódia","Meteorologica","Pluviometrica","Convencional","APAC","Moxotó","Sertão do Moxotó","Sertão do Moxotó","Sertão Pernambucano","11/1/1933","2/29/2000","MAPA"
"234","260510303V","Custódia","Custódia (Povoado Caiçara)","-8.269","-37.732","493.2","Custódia (Povoado Caiçara)","Meteorologica","Pluviometrica","Convencional","APAC","Moxotó","Sertão do Moxotó","Sertão do Moxotó","Sertão Pernambucano","11/1/1962","","MAPA"
"315","260510304V","Custódia","Sertânia (Carualina)","-8.300","-37.583","458.0","Sertânia (Carualina)","Meteorologica","Pluviometrica","Convencional","APAC","Moxotó","Sertão do Moxotó","Sertão do Moxotó","Sertão Pernambucano","11/1/1962","12/31/1978","MAPA"
"449","260510305V","Custódia","Custódia (Quitimbu)","-7.933","-37.617","624.8","Custódia (Quitimbu)","Meteorologica","Pluviometrica","Convencional","APAC","Moxotó","Sertão do Moxotó","Sertão do Moxotó","Sertão Pernambucano","7/1/1962","5/31/1974","MAPA"
"1881","260510301H","Custódia","Custódia (Marrecas)","-8.076","-37.597","523.0","Marrecas","Hidrologica - Reservatorio","Pluviometrica","Automática","APAC","Moxotó","Sertão do Moxotó","Sertão do Moxotó","Sertão Pernambucano","1/1/1970","","MAPA"
"TPLU223","260510301A","Custódia","Custódia","-8.087","-37.632","0.0","Estação de Tratamento de Água - Compesa","Meteorologica","Pluviometrica","Automática","APAC","MOXOTÓ","Sertão do Pajeú","Sertão Pernambucano","Sertão Pernambucano","1/1/1970","10/31/1971","MAPA"
"2130","260510301C","CUSTÓDIA","CUSTODIA [C]","-8.078","-37.653","0.0","CUSTÓDIA","Meteorologica","Pluviometrica","Automática","CEMADEN","0","Sertão do Moxotó","Sertão Pernambucano","Sertão Pernambucano","1/1/1970","","MAPA"
"159","260515201V","Dormentes","Dormentes","-8.449","-40.767","493.9","Dormentes","Meteorologica","Pluviometrica","Convencional","APAC","Pontal","Sertão do São Francisco","Sertão do São Francisco","Sertão Pernambucano","10/1/1962","5/31/1977","MAPA"
"167","260515202V","Dormentes","Dormentes (Lagoas)","-8.511","-40.415","419.2","Dormentes (Lagoas)","Meteorologica","Pluviometrica","Convencional","APAC","Garças","Sertão do São Francisco","Sertão do São Francisco","Sertão Pernambucano","11/1/1962","1/31/2009","MAPA"
"252","260515203V","Dormentes","Dormentes (Poço da Pedra)","-8.523","-40.601","467.1","Dormentes (Poço da Pedra)","Meteorologica","Pluviometrica","Convencional","APAC","Pontal","Sertão do São Francisco","Sertão do São Francisco","Sertão Pernambucano","11/1/1962","6/6/2007","MAPA"
"343","260515204V","Dormentes","Dormentes","-8.449","-40.767","493.9","Dormentes","Meteorologica","Pluviometrica","Convencional","APAC","Pontal","Sertão do São Francisco","Sertão do São Francisco","Sertão Pernambucano","1/1/1996","7/31/1995","MAPA"
"429","260515205V","Dormentes","Petrolina (Santa Fé)","-8.650","-40.467","466.1","Petrolina (Santa Fé)","Meteorologica","Pluviometrica","Convencional","APAC","Pontal","Sertão do São Francisco","Sertão do São Francisco","Sertão Pernambucano","11/1/1946","6/30/1977","MAPA"
"TPLU236","260515201A","Dormentes","Dormentes (Caatinga Grande)","-8.581","-40.694","0.0","Reservatório de Água - Compesa","Meteorologica","Pluviometrica","Automática","APAC","PONTAL","Sertão do São Francisco","Sertão Pernambucano","Sertão Pernambucano","1/1/1970","8/31/1978","MAPA"
"TPLU237","260515201A","Dormentes","Dormentes (Lagoas)","-8.513","-40.417","0.0","Escola Municipal","Meteorologica","Pluviometrica","Automática","APAC","GARÇAS","Sertão do São Francisco","Sertão Pernambucano","Sertão Pernambucano","1/1/1970","7/1/1998","MAPA"
"2131","260515201C","DORMENTES","DORMENTES [C]","-8.448","-40.749","0.0","DORMENTES","Meteorologica","Pluviometrica","Automática","CEMADEN","0","Sertão do São Francisco","Sertão Pernambucano","Sertão Pernambucano","1/1/1970","5/27/2004","MAPA"
"107","260520201V","Escada","Escada","-8.359","-35.237","115.2","Escada","Meteorologica","Pluviometrica","Convencional","APAC","Ipojuca","Mata Sul","Zona da Mata e Litoral","Mata Pernambucana","1/1/1994","2/28/2000","MAPA"
"452","260520202V","Escada","Escada","-8.367","-35.233","89.1","Escada","Meteorologica","Pluviometrica","Convencional","APAC","Ipojuca","Mata Sul","Zona da Mata e Litoral","Mata Pernambucana","1/1/1999","","MAPA"
"599","260520203V","Escada","Escada","-8.359","-35.237","115.2","Escada","Meteorologica","Pluviometrica","Convencional","APAC","Ipojuca","Mata Sul","Zona da Mata e Litoral","Mata Pernambucana","9/1/2011","","MAPA"
"2030","260520201A","Escada","Escada (Jaguaribe)","-8.369","-35.241","93.9","ESCADA","Meteorologica","Pluviometrica","Automática","CEMADEN","Ipojuca","Mata Sul","Zona da Mata e Litoral","Mata Pernambucana","1/1/1970","","MAPA"
"TPLU047","260520202A","Escada","Escada","-8.356","-35.234","0.0","Estação de Tratamento de Água - Compesa","Meteorologica","Pluviometrica","Automática","APAC","IPOJUCA","Mata Sul","Mata Pernambucana","Mata Pernambucana","1/1/1970","3/31/1997","MAPA"
"2197","260520202H","ESCADA","Rio Ipojuca [H]","-8.364","-35.237","0.0","ESCADA","Hidrometeorologica","Fluviometrica","Automática","CEMADEN","0","Mata Sul","Mata Pernambucana","Mata Pernambucana","1/1/1970","","MAPA"
"51","260530101V","Exu","Exu","-7.516","-39.729","527.0","Exu","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","12/1/1934","4/30/1986","MAPA"
"361","260530101V","Exu","Exu (Serra das Tabocas)","-7.417","-39.850","844.9","Exu (Serra das Tabocas)","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","1/1/1962","","MAPA"
"362","260530101V","Exu","Exu (Viração)","-7.500","-39.833","584.6","Exu (Viração)","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","10/1/1962","8/31/2000","MAPA"
"550","260530101V","Exu","Exu (IPA)","-7.533","-39.732","531.8","Exu (IPA)","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","9/16/2006","","MAPA"
"590","260530101M","Exu","Exu - PCD","-7.515","-39.725","521.1","Exu - PCD","Meteorologica","Pluviometrica","Automática","APAC","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","6/29/2010","","MAPA"
"2132","260530101C","EXU","EXU [C]","-7.529","-39.710","0.0","EXU","Meteorologica","Pluviometrica","Automática","CEMADEN","0","Sertão do Araripe","Sertão Pernambucano","Sertão Pernambucano","1/1/1970","12/31/1991","MAPA"
"135","260540001V","Feira Nova","Feira Nova","-7.956","-35.389","153.7","Feira Nova","Meteorologica","Pluviometrica","Convencional","APAC","Capibaribe","Agreste Setentrional","Agreste Setentrional","Agreste Pernambucano","9/1/1967","4/30/1993","MAPA"
"TPLU144","260540001A","Feira Nova","Feira Nova","-7.929","-35.392","0.0","Assentamento","Meteorologica","Pluviometrica","Automática","APAC","CAPIBARIBE","Agreste Setentrional","Agreste Pernambucano","Agreste Pernambucano","1/1/1970","10/30/1993","MAPA"
"537","260545901M","Fernando de Noronha","Fernando de Noronha - PCD","-3.849","-32.431","49.7","Fernando de Noronha - PCD","Meteorologica","Pluviometrica","Automática","APAC","Fernando de Noronha","RMR","Zona da Mata e Litoral","Metropolitana do Recife","9/30/2002","12/31/1991","MAPA"
"597","260545901M","Fernando de Noronha","Fernando de Noronha - PCD - 2","-3.849","-32.431","49.7","Fernando de Noronha - PCD - 2","Meteorologica","Pluviometrica","Automática","APAC","Fernando de Noronha","RMR","Zona da Mata e Litoral","Metropolitana do Recife","10/28/2010","10/31/1998","MAPA"
"1926","260545901A","Fernando de Noronha","Fernando de Noronha","-3.840","-32.410","36.0","Fernando de Noronha","Meteorologica","Pluviometrica","Automática","INPE","Fernando de Noronha","RMR","Zona da Mata e Litoral","Metropolitana do Recife","1/1/1970","","MAPA"
"2198","260545901V","Fernando de Noronha","Fernando de Noronha (Bombeiros)","-3.856","-32.427","0.0","Fernando de Noronha","0","0","0","0","0","0","0","0","1/1/1970","12/31/1994","MAPA"
"457","260550901V","Ferreiros","Ferreiros","-7.446","-35.239","91.9","Ferreiros","Meteorologica","Pluviometrica","Convencional","APAC","Goiana","Mata Norte","Zona da Mata e Litoral","Mata Pernambucana","1/1/1999","","MAPA"
"TPLU026","260550901A","Ferreiros","Ferreiros","-7.448","-35.241","0.0","Centro Cultural","Meteorologica","Pluviometrica","Automática","APAC","GOIANA","Mata Norte","Mata Pernambucana","Mata Pernambucana","1/1/1970","11/21/2011","MAPA"
"42","260560801V","Flores","Flores (CHESF)","-7.867","-37.967","482.5","Flores (CHESF)","Meteorologica","Pluviometrica","Convencional","APAC","Pajeú","Sertão do Pajeú","Sertão do Pajeú","Sertão Pernambucano","8/1/1911","","MAPA"
"183","260560802V","Flores","Flores","-7.867","-37.974","480.9","Flores","Meteorologica","Pluviometrica","Convencional","APAC","Pajeú","Sertão do Pajeú","Sertão do Pajeú","Sertão Pernambucano","1/1/1994","9/1/2001","MAPA"
"186","260560803V","Flores","Flores (Fátima)","-7.948","-37.796","546.3","Flores (Fátima)","Meteorologica","Pluviometrica","Convencional","APAC","Pajeú","Sertão do Pajeú","Sertão do Pajeú","Sertão Pernambucano","7/1/1962","7/3/2007","MAPA"
"194","260560804V","Flores","Flores (St. dos Nunes)","-8.049","-37.837","562.0","Flores (St. dos Nunes)","Meteorologica","Pluviometrica","Convencional","APAC","Pajeú","Sertão do Pajeú","Sertão do Pajeú","Sertão Pernambucano","11/1/1962","","MAPA"
"TPLU217","260560801A","Flores","Flores (Sítio dos Nunes)","-8.046","-37.833","0.0","Estação de Tratamento de Água - Compesa","Meteorologica","Pluviometrica","Automática","APAC","PAJEÚ","Sertão do Pajeú","Sertão Pernambucano","Sertão Pernambucano","1/1/1970","3/1/2001","MAPA"
"2133","260560801C","FLORES","FLORES [C]","-7.830","-37.995","0.0","FLORES","Meteorologica","Pluviometrica","Automática","CEMADEN","0","Sertão do Pajeú","Sertão Pernambucano","Sertão Pernambucano","1/1/1970","9/1/2000","MAPA"
"32","260570701V","Floresta","Floresta (CHESF)","-8.617","-38.567","318.1","Floresta (CHESF)","Meteorologica","Pluviometrica","Convencional","APAC","Pajeú","Sertão de Itaparica","Sertão do São Francisco","Sertão Pernambucano","1/1/1993","","MAPA"
"87","260570702V","Floresta","Floresta (Faz. Ilha Grande)","-8.533","-38.167","381.4","Floresta (Faz. Ilha Grande)","Meteorologica","Pluviometrica","Convencional","APAC","Pajeú","Sertão de Itaparica","Sertão do São Francisco","Sertão Pernambucano","1/1/1993","","MAPA"
"177","260570703V","Floresta","Floresta (Airí)","-8.539","-38.193","378.0","Floresta (Airí)","Meteorologica","Pluviometrica","Convencional","APAC","Pajeú","Sertão de Itaparica","Sertão do São Francisco","Sertão Pernambucano","11/1/1993","7/1/1998","MAPA"
"178","260570704V","Floresta","Floresta","-8.601","-38.576","323.0","Floresta","Meteorologica","Pluviometrica","Convencional","APAC","Pajeú","Sertão de Itaparica","Sertão do São Francisco","Sertão Pernambucano","11/1/1993","7/1/1998","MAPA"
"227","260570705V","Floresta","Floresta (Fazenda Juazeiro)","-8.782","-38.344","316.7","Floresta (Fazenda Juazeiro)","Meteorologica","Pluviometrica","Convencional","APAC","GI-3","Sertão de Itaparica","Sertão do São Francisco","Sertão Pernambucano","1/1/1996","12/1/1998","MAPA"
"255","260570706V","Floresta","Floresta (Fazenda Santa Paula)","-8.383","-38.333","402.1","Floresta (Fazenda Santa Paula)","Meteorologica","Pluviometrica","Convencional","APAC","Pajeú","Sertão de Itaparica","Sertão do São Francisco","Sertão Pernambucano","11/1/1962","12/1/1998","MAPA"
"299","260570707V","Floresta","Floresta (Barra da Forquilha)","-8.483","-38.467","359.1","Floresta (Barra da Forquilha)","Meteorologica","Pluviometrica","Convencional","APAC","Pajeú","Sertão de Itaparica","Sertão do São Francisco","Sertão Pernambucano","9/1/1962","12/1/1999","MAPA"
"397","260570701M","Floresta","Floresta - PCD","-8.601","-38.575","321.0","Floresta - PCD","Meteorologica","Pluviometrica","Automática","APAC","Pajeú","Sertão de Itaparica","Sertão do São Francisco","Sertão Pernambucano","6/1/2000","7/1/1998","MAPA"
"419","260570708V","Floresta","Floresta (Carqueja)","-8.333","-38.417","383.9","Floresta (Carqueja)","Meteorologica","Pluviometrica","Convencional","APAC","Pajeú","Sertão de Itaparica","Sertão do São Francisco","Sertão Pernambucano","11/1/1962","5/1/2001","MAPA"
"428","260570709V","Floresta","Floresta (Sítio Novo)","-8.800","-38.400","302.0","Floresta (Sítio Novo)","Meteorologica","Pluviometrica","Convencional","APAC","Pajeú","Sertão de Itaparica","Sertão do São Francisco","Sertão Pernambucano","7/1/1950","","MAPA"
"1894","260570701H","Floresta","Floresta (Barra do Juá)","-8.446","-38.067","402.0","Barra do Juá","Hidrologica - Reservatorio","Pluviometrica","Automática","APAC","Pajeú","Sertão de Itaparica","Sertão do São Francisco","Sertão Pernambucano","1/1/1970","7/13/2002","MAPA"
"1927","260570703A","Floresta","Floresta","-8.600","-38.570","325.0","Floresta","Meteorologica","Pluviometrica","Automática","INPE","Pajeú","Sertão de Itaparica","Sertão do São Francisco","Sertão Pernambucano","1/1/1970","6/1/2005","MAPA"
"1971","260570704A","Floresta","Floresta - INMET","-8.610","-38.592","324.9","Floresta - INMET","Meteorologica","Pluviometrica","Automática","INMET","Pajeú","Sertão de Itaparica","Sertão do São Francisco","Sertão Pernambucano","1/1/1970","","MAPA"
"TPLU180","260570702A","Floresta","Floresta (Nazare do Pico)","-8.321","-38.412","0.0","Estação de Tratamento de Água - Compesa","Meteorologica","Pluviometrica","Automática","APAC","PAJEÚ","Sertão de Itaparica","Sertão Pernambucano","Sertão Pernambucano","1/1/1970","","MAPA"
"2134","260570701C","FLORESTA","FLORESTA [C]","-8.612","-38.486","0.0","FLORESTA","Meteorologica","Pluviometrica","Automática","CEMADEN","0","Sertão de Itaparica","Sertão Pernambucano","Sertão Pernambucano","1/1/1970","7/12/2002","MAPA"
"218","260580601V","Frei Miguelinho","Frei Miguelinho (Algodão do Manso)","-7.935","-35.847","396.0","Frei Miguelinho (Algodão do Manso)","Meteorologica","Pluviometrica","Convencional","APAC","Capibaribe","Agreste Setentrional","Agreste Setentrional","Agreste Pernambucano","12/1/1962","3/1/1999","MAPA"
"439","260580602V","Frei Miguelinho","Frei Miguelinho (Povoado Valdemar Lima)","-7.989","-35.952","298.5","Frei Miguelinho (Povoado Valdemar Lima)","Meteorologica","Pluviometrica","Convencional","APAC","Capibaribe","Agreste Setentrional","Agreste Setentrional","Agreste Pernambucano","9/1/1999","8/1/1998","MAPA"
"535","260580603V","Frei Miguelinho","Frei Miguelinho","-7.942","-35.920","401.9","Frei Miguelinho","Meteorologica","Pluviometrica","Convencional","APAC","Capibaribe","Agreste Setentrional","Agreste Setentrional","Agreste Pernambucano","4/1/2001","","MAPA"
"2135","260580601C","FREI MIGUELINHO","FREI MIGUELINHO [C]","-7.954","-35.916","0.0","FREI MIGUELINHO","Meteorologica","Pluviometrica","Automática","CEMADEN","0","Agreste Setentrional","Agreste Pernambucano","Agreste Pernambucano","1/1/1970","4/30/2006","MAPA"
"285","260590501V","Gameleira","Joaquim Nabuco","-8.642","-35.417","188.4","Joaquim Nabuco","Meteorologica","Pluviometrica","Convencional","APAC","Sirinhaém","Mata Sul","Zona da Mata e Litoral","Mata Pernambucana","1/1/1999","","MAPA"
"393","260590502V","Gameleira","Gameleira","-8.582","-35.388","85.0","Gameleira","Meteorologica","Pluviometrica","Convencional","APAC","Sirinhaém","Mata Sul","Zona da Mata e Litoral","Mata Pernambucana","1/1/1963","3/1/2000","MAPA"
"444","260590503V","Gameleira","Gameleira","-8.550","-35.367","171.2","Gameleira","Meteorologica","Pluviometrica","Convencional","APAC","Sirinhaém","Mata Sul","Zona da Mata e Litoral","Mata Pernambucana","3/1/1932","6/8/2007","MAPA"
"2081","260590501A","Gameleira","Gameleira (Centro)","-8.587","-35.386","88.2","GAMELEIRA","Meteorologica","Pluviometrica","Automática","CEMADEN","Sirinhaém","Mata Sul","Zona da Mata e Litoral","Mata Pernambucana","1/1/1970","","MAPA"
"TPLU063","260590502A","Gameleira","Gameleira","-8.583","-35.385","0.0","SAAE","Meteorologica","Pluviometrica","Automática","APAC","SIRINHAÉM","Mata Sul","Mata Pernambucana","Mata Pernambucana","1/1/1970","4/9/2007","MAPA"
"19","260600201V","Garanhuns","Garanhuns","-8.883","-36.488","867.4","Garanhuns","Meteorologica","Pluviometrica","Convencional","APAC","Mundaú","Agreste Meridional","Agreste Meridional","Agreste Pernambucano","6/1/1920","","MAPA"
"326","260600202V","Garanhuns","Garanhuns","-8.850","-36.467","734.9","Garanhuns","Meteorologica","Pluviometrica","Convencional","APAC","Mundaú","Agreste Meridional","Agreste Meridional","Agreste Pernambucano","2/1/1913","7/7/2002","MAPA"
"394","260600203V","Garanhuns","Garanhuns","-8.867","-36.467","800.8","Garanhuns","Meteorologica","Pluviometrica","Convencional","APAC","Mundaú","Agreste Meridional","Agreste Meridional","Agreste Pernambucano","1/1/1923","6/7/2007","MAPA"
"417","260600204V","Garanhuns","Garanhuns","-8.950","-36.517","718.9","Garanhuns","Meteorologica","Pluviometrica","Convencional","APAC","Mundaú","Agreste Meridional","Agreste Meridional","Agreste Pernambucano","12/1/1962","6/5/2007","MAPA"
"461","260600205V","Garanhuns","Garanhuns","-8.867","-36.483","807.1","Garanhuns","Meteorologica","Pluviometrica","Convencional","APAC","Mundaú","Agreste Meridional","Agreste Meridional","Agreste Pernambucano","4/1/1930","","MAPA"
"600","260600206V","Garanhuns","Garanhuns (UAG/UFRPE)","-8.850","-36.467","734.9","Garanhuns (UAG/UFRPE)","Meteorologica","Pluviometrica","Convencional","APAC","Mundaú","Agreste Meridional","Agreste Meridional","Agreste Pernambucano","11/28/2011","6/4/2007","MAPA"
"1903","260600201H","Garanhuns","Mundaú II - Cajueiro","-8.989","-36.472","670.0","Mundaú II - Cajueiro","Hidrologica - Reservatorio","Pluviometrica","Automática","APAC","Mundaú","Agreste Meridional","Agreste Meridional","Agreste Pernambucano","1/1/1970","6/4/2007","MAPA"
"1972","260600201A","Garanhuns","Garanhuns - INMET","-8.907","-36.497","832.3","Garanhuns - INMET","Meteorologica","Pluviometrica","Automática","INMET","Mundaú","Agreste Meridional","Agreste Meridional","Agreste Pernambucano","1/1/1970","10/15/2010","MAPA"
"2136","260600201C","GARANHUNS","GARANHUNS [C]","-8.840","-36.545","0.0","GARANHUNS","Meteorologica","Pluviometrica","Automática","CEMADEN","0","Agreste Meridional","Agreste Pernambucano","Agreste Pernambucano","1/1/1970","7/8/2007","MAPA"
"136","260610101V","Glória do Goitá","Glória do Goitá","-8.011","-35.273","154.1","Glória do Goitá","Meteorologica","Pluviometrica","Convencional","APAC","Capibaribe","Mata Norte","Zona da Mata e Litoral","Mata Pernambucana","1/1/1963","","MAPA"
"219","260610102V","Glória do Goitá","Glória do Goitá (Apoti)","-8.059","-35.388","187.2","Glória do Goitá (Apoti)","Meteorologica","Pluviometrica","Convencional","APAC","Capibaribe","Mata Norte","Zona da Mata e Litoral","Mata Pernambucana","10/1/1967","7/9/2007","MAPA"
"447","260610103V","Glória do Goitá","Glória do Goitá","-8.000","-35.317","195.0","Glória do Goitá","Meteorologica","Pluviometrica","Convencional","APAC","Capibaribe","Mata Norte","Zona da Mata e Litoral","Mata Pernambucana","1/1/1975","5/31/1997","MAPA"
"TPLU027","260610102A","Glória do Goitá","Glória do Goitá","-8.001","-35.285","0.0","Indústria Nissan Miojo ","Meteorologica","Pluviometrica","Automática","APAC","CAPIBARIBE","Mata Norte","Mata Pernambucana","Mata Pernambucana","1/1/1970","","MAPA"
"TPLU028","260610101A","Glória do Goitá","Glória do Goitá (Apodi)","-8.055","-35.389","0.0","Escola Municipal","Meteorologica","Pluviometrica","Automática","APAC","CAPIBARIBE","Mata Norte","Mata Pernambucana","Mata Pernambucana","1/1/1970","4/30/1998","MAPA"
"28","260620001V","Goiana","Goiana (Itapirema - IPA)","-7.644","-34.949","84.9","Goiana (Itapirema - IPA)","Meteorologica","Pluviometrica","Convencional","APAC","GL-1","Mata Norte","Zona da Mata e Litoral","Mata Pernambucana","1/1/1981","12/18/1999","MAPA"
"130","260620002V","Goiana","Goiana","-7.563","-34.991","13.0","Goiana","Meteorologica","Pluviometrica","Convencional","APAC","Goiana","Mata Norte","Zona da Mata e Litoral","Mata Pernambucana","1/1/1977","","MAPA"
"372","260620003V","Goiana","Goiana","-7.617","-34.983","93.7","Goiana","Meteorologica","Pluviometrica","Convencional","APAC","Goiana","Mata Norte","Zona da Mata e Litoral","Mata Pernambucana","6/1/1964","","MAPA"
"400","260620004V","Goiana","Goiana (Itapirema)","-7.567","-35.000","14.1","Goiana (Itapirema)","Meteorologica","Pluviometrica","Convencional","APAC","Goiana","Mata Norte","Zona da Mata e Litoral","Mata Pernambucana","1/1/1963","","MAPA"
"415","260620005V","Goiana","Goiana (Usina Maravilha)","-7.644","-34.949","84.9","Goiana (Usina Maravilha)","Meteorologica","Pluviometrica","Convencional","APAC","GL-1","Mata Norte","Zona da Mata e Litoral","Mata Pernambucana","9/1/2001","10/31/2005","MAPA"
"450","260620006V","Goiana","Goiana (Itapirema)","-7.667","-34.933","82.0","Goiana (Itapirema)","Meteorologica","Pluviometrica","Convencional","APAC","GL-1","Mata Norte","Zona da Mata e Litoral","Mata Pernambucana","1/1/1979","7/15/2002","MAPA"
"487","260620001M","Goiana","Goiana - PCD","-7.644","-34.949","84.9","Goiana - PCD","Meteorologica","Pluviometrica","Automática","APAC","GL-1","Mata Norte","Zona da Mata e Litoral","Mata Pernambucana","10/21/1999","4/30/2005","MAPA"
"1981","260620001U","Goiana","Goiana","-7.644","-34.949","85.3","Goiana","Agrometeorologica","Pluviometrica","Automática","APAC","GL-1","Mata Norte","Zona da Mata e Litoral","Mata Pernambucana","1/1/1970","","MAPA"
"TPLU029","260620003A","Goiana","Goiana (Ponta de Pedra)","-7.566","-34.858","0.0","Fazenda Atlantis","Meteorologica","Pluviometrica","Automática","APAC","GOIANA","Mata Norte","Mata Pernambucana","Mata Pernambucana","1/1/1970","5/14/2004","MAPA"
"2195","260620003H","GOIANA","Canal de Goiana [H]","#REF!","#REF!","0.0","GOIANA","Hidrometeorologica","Fluviometrica","Automática","CEMADEN","0","Mata Norte","Mata Pernambucana","Mata Pernambucana","1/1/1970","","#REF!"
"90","260630901V","Granito","Granito","-7.717","-39.616","448.0","Granito","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","10/1/1962","","MAPA"
"170","260630902V","Granito","Exú (Timorante)","-7.683","-39.783","518.2","Exú (Timorante)","Meteorologica","Pluviometrica","Convencional","APAC","Brígida","Sertão do Araripe","Alto Sertão","Sertão Pernambucano","10/1/1962","","MAPA"
